"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60186","Ошибка логина курьера без обязательного поля","tests","2026-09-20","failed","2026-09-20","TestLoginCourier","test_login_courier","",""
"","195","Успешное создание заказа с разными вариантами цвета","tests","2026-09-20","passed","2026-09-20","TestCreateOrder","test_create_order","",""
"","179","Ошибка при создании курьера без обязательного поля","tests","2026-09-20","passed","2026-09-20","TestCreateCourier","test_create_courier","",""
"","172","Успешное создание заказа с разными вариантами цвета","tests","2026-09-20","passed","2026-09-20","TestCreateOrder","test_create_order","",""
"","172","Успешное создание заказа с разными вариантами цвета","tests","2026-09-20","passed","2026-09-20","TestCreateOrder","test_create_order","",""
"","400","Успешное создание курьера","tests","2026-09-20","passed","2026-09-20","TestCreateCourier","test_create_courier","",""
"","203","Успешный логин курьера","tests","2026-09-20","passed","2026-09-20","TestLoginCourier","test_login_courier","",""
"","17668","Получение списка заказов","tests","2026-09-20","passed","2026-09-20","TestGetOrders","test_get_orders","",""
"","187","Ошибка при создании курьера без обязательного поля","tests","2026-09-20","passed","2026-09-20","TestCreateCourier","test_create_courier","",""
"","155","Ошибка логина курьера с неверными учётными данными","tests","2026-09-20","passed","2026-09-20","TestLoginCourier","test_login_courier","",""
"","613","Ошибка при создании двух одинаковых курьеров","tests","2026-09-20","passed","2026-09-20","TestCreateCourier","test_create_courier","",""
"","153","Ошибка логина несуществующего курьера","tests","2026-09-20","passed","2026-09-20","TestLoginCourier","test_login_courier","",""
"","211","Успешное создание заказа с разными вариантами цвета","tests","2026-09-20","passed","2026-09-20","TestCreateOrder","test_create_order","",""
"","177","Ошибка логина курьера без обязательного поля","tests","2026-09-20","passed","2026-09-20","TestLoginCourier","test_login_courier","",""
"","248","Ошибка логина курьера с неверными учётными данными","tests","2026-09-20","passed","2026-09-20","TestLoginCourier","test_login_courier","",""
